company,date,price,ticker
Williamson Tea Kenya Limited,11/11/2021,134,WTK
Williamson Tea Kenya Limited,12/11/2021,134,WTK
Williamson Tea Kenya Limited,23/10/2021,130.75,WTK
Williamson Tea Kenya Limited,13/11/2021,134,WTK
Williamson Tea Kenya Limited,24/10/2021,130.75,WTK
Williamson Tea Kenya Limited,25/10/2021,130.75,WTK
Williamson Tea Kenya Limited,14/11/2021,134,WTK
Williamson Tea Kenya Limited,26/10/2021,130.75,WTK
Williamson Tea Kenya Limited,27/10/2021,132,WTK
Williamson Tea Kenya Limited,15/11/2021,132,WTK
Williamson Tea Kenya Limited,28/10/2021,140,WTK
Williamson Tea Kenya Limited,29/10/2021,138,WTK
Williamson Tea Kenya Limited,16/11/2021,133.75,WTK
Williamson Tea Kenya Limited,30/10/2021,138,WTK
Williamson Tea Kenya Limited,31/10/2021,138,WTK
Williamson Tea Kenya Limited,17/11/2021,133.75,WTK
Williamson Tea Kenya Limited,1/11/2021,138,WTK
Williamson Tea Kenya Limited,2/11/2021,138,WTK
Williamson Tea Kenya Limited,18/11/2021,137.5,WTK
Williamson Tea Kenya Limited,22/11/2021,134,WTK
Williamson Tea Kenya Limited,3/11/2021,138,WTK
Williamson Tea Kenya Limited,4/11/2021,138,WTK
Williamson Tea Kenya Limited,19/11/2021,134,WTK
Williamson Tea Kenya Limited,5/11/2021,138,WTK
Williamson Tea Kenya Limited,01/07/2021,145.75,WTK
Williamson Tea Kenya Limited,02/07/2021,149,WTK
Williamson Tea Kenya Limited,03/07/2021,149,WTK
Williamson Tea Kenya Limited,04/07/2021,149,WTK
Williamson Tea Kenya Limited,05/07/2021,149,WTK
Williamson Tea Kenya Limited,06/07/2021,147.25,WTK
Williamson Tea Kenya Limited,07/07/2021,140.75,WTK
Williamson Tea Kenya Limited,08/07/2021,138.25,WTK
Williamson Tea Kenya Limited,09/07/2021,137.5,WTK
Williamson Tea Kenya Limited,10/07/2021,137.5,WTK
Williamson Tea Kenya Limited,11/07/2021,137.5,WTK
Williamson Tea Kenya Limited,12/07/2021,138.5,WTK
Williamson Tea Kenya Limited,13/07/2021,138.5,WTK
Williamson Tea Kenya Limited,14/07/2021,138.5,WTK
Williamson Tea Kenya Limited,15/07/2021,139.25,WTK
Williamson Tea Kenya Limited,16/07/2021,152.25,WTK
Williamson Tea Kenya Limited,17/07/2021,152.25,WTK
Williamson Tea Kenya Limited,18/07/2021,152.25,WTK
Williamson Tea Kenya Limited,19/07/2021,152.25,WTK
Williamson Tea Kenya Limited,20/07/2021,152.25,WTK
Williamson Tea Kenya Limited,21/07/2021,143.5,WTK
Williamson Tea Kenya Limited,22/07/2021,138.5,WTK
